id,source_file,work_order,customer_name,entry_date,operator,part_name,start_time,finish_time,process_time,total_time,material,material_size,total_parts,yield_status,scrap_count,defects_count,notes,department,created_at,updated_at
21350,GEM IL400061.xlsx,,GEM IL400061,2025-02-06,"F,H",IMD468570-7,11:45:00,03:15:00,,,,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
24485,GEM IL400116.xlsx,,GEM IL400116,2025-02-06,"F,H",C82570,09:00:00,09:30:00,,,"3"" HDPE",SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24486,GEM IL400116.xlsx,,GEM IL400116,2025-02-06,"F,H",C82575,09:40:00,10:15:00,,,1.75 UHMW,SCRAP,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
24487,GEM IL400116.xlsx,,GEM IL400116,2025-02-06,"F,H",C82574,10:40:00,11:00:00,,,1.75 UHMW,,,,,,,,2025-12-23 18:52:46,2025-12-23 18:52:46
21352,GEM IL400061.xlsx,,GEM IL400061,2025-02-07,"F,H",IMD468570-7,07:30:00,10:00:00,,,,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
23864,JJJ 3003.xlsx,,JJJ,2025-02-10,"F,H",C81965 - ROUTERS,12:45:00,03:15:00,,3.25,8#,1.625X48X96,6,3 PCS.,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23869,JJJ 3003.xlsx,,JJJ,2025-02-11,"F,H",C81965 - ROUTERS,07:30:00,03:00:00,,6.5,8#,1.625X48X96,28,3,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23871,JJJ 3003.xlsx,,JJJ,2025-02-12,"F,H",C81965 - ROUTERS,08:30:00,03:15:00,,5.75,8#,1.625X48X96,26,3,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23876,JJJ 3003.xlsx,,JJJ,2025-02-13,"F,H",C81965 - ROUTERS,07:30:00,03:25:00,,6.92,8 #,1.625X48X96,40,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23879,JJJ 3003.xlsx,,JJJ,2025-02-14,"F,H",C81965 - ROUTERS,11:20:00,03:15:00,,3.17,8#,,15,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
25682,MATCON 1002410.xlsx,,MATCON,2025-02-14,"F,H",22849-C,08:00:00,08:35:00,,0.5,,,,,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
25683,MATCON 1002410.xlsx,,MATCON,2025-02-14,"F,H",22849-C,08:35:00,09:05:00,,0.5,,,,,,,,,2025-12-23 18:52:49,2025-12-23 18:52:49
19472,STEELTECH 200074.xlsx,,STEELTECH,2025-02-17,"F,H",C83028,08:45:00,01:35:00,,4.08,HDPE BLK,.250X48X96,,20 PCS.,,,,,2025-12-23 18:52:31,2025-12-23 18:52:31
19473,STEELTECH 200074.xlsx,,STEELTECH,2025-02-17,"F,H",C83029,01:48:00,03:15:00,,1.2,HDPE BLK,.250X48X96,,20 PCS.,,,,,2025-12-23 18:52:31,2025-12-23 18:52:31
19474,STEELTECH 200074.xlsx,,STEELTECH,2025-02-18,"F,H",C83029,07:00:00,10:05:00,,3.08,HDPE BLK,.25X48X96,,20 PCDS.,,,,,2025-12-23 18:52:31,2025-12-23 18:52:31
19478,STEELTECH 200074.xlsx,,STEELTECH,2025-02-18,"F,H",C83031,10:45:00,11:15:00,,0.5,HDPE BLK,.375X48X96,,114 PCS.,,,,,2025-12-23 18:52:31,2025-12-23 18:52:31
19479,STEELTECH 200074.xlsx,,STEELTECH,2025-02-18,"F,H",C83031,12:35:00,02:20:00,,1.5,HDPE BLK,.375X48X96,,114 PCS.,,,,,2025-12-23 18:52:31,2025-12-23 18:52:31
22482,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82598,07:00:00,07:15:00,,,.750 UHMW,SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22483,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82599,08:30:00,08:45:00,,,.750 UHMW,SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22484,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82600,08:45:00,09:00:00,,,.750 UHMW,SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22485,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82596,09:05:00,09:18:00,,,.750 UHMW,SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22486,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82595,09:20:00,09:33:00,,,.750 UHMW,SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22488,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82597,09:40:00,09:50:00,,,.750 UHMW,SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22489,AMI 19138.xlsx,,AMI,2025-02-19,"F,H",C82601,10:00:00,10:35:00,,,"1"" UHMW",SCRAP,,,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
23897,JJJ 3003.xlsx,,JJJ,2025-02-19,"F,H",C81965 - ROUTERS,11:50:00,03:00:00,,2.42,,1.625X48X96,8,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23905,JJJ 3003.xlsx,,JJJ,2025-02-20,F.H,C81965 - ROUTERS,07:00:00,04:00:00,,8.0,,1.625X48X96,41,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23913,JJJ 3003.xlsx,,JJJ,2025-02-21,"F,H",C81965 - ROUTERS,06:45:00,03:45:00,,8.0,,1.625X48X96,42, ,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
20916,VCI 300058.xlsx,,VCI,2025-02-24,"F,H",C82603,07:45:00,08:45:00,,,"2"" HDPE BLK",SCRAP,,,,,,,2025-12-23 18:52:35,2025-12-23 18:52:35
22031,Diamond 406633.xlsx,,Diamond,2025-02-24,"F,H",C82605,09:45:00,11:15:00,,1.25,HDPE WHITE,.50X48X96,,18 PCS.,,,,,2025-12-23 18:52:38,2025-12-23 18:52:38
23919,JJJ 3003.xlsx,,JJJ,2025-02-24,"F,H",C81965 - ROUTERS,11:50:00,03:55:00,,3.33,,1.625X48X96,15,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
22054,CMG 5424.xlsx,,CMG,2025-02-25,"F,H",C82113,11:10:00,03:15:00,,3.33,HDPE WHITE,1.75X48X96,,16 PCS.,,,,,2025-12-23 18:52:38,2025-12-23 18:52:38
23931,JJJ 3003.xlsx,,JJJ,2025-02-26,"F,H",C81965 - ROUTERS,12:40:00,03:45:00,,2.83,,1.625X48X96,15,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
19165,Richfield 61311.xlsx,,Richfield,2025-02-27,"F,H",C82607,08:45:00,09:45:00,,1.0,HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:30,2025-12-23 18:52:30
23936,JJJ 3003.xlsx,,JJJ,2025-02-27,"F,H",C81966 - ROUTERS,10:35:00,03:45:00,,4.42,,1.625X48X96,22,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23036,Diamond 406606.xlsx,,Diamond,2025-02-28,"F,H",C82609,08:15:00,09:00:00,,0.75,HDPE WHITE,.250X48X96,,2 PCS.,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
23037,Diamond 406606.xlsx,,Diamond,2025-02-28,"F,H",C82609,10:00:00,02:00:00,,3.25,HDPE WHITE,.250X48X96,,2 PCS.,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
23950,JJJ 3003.xlsx,,JJJ,2025-03-03,"F,H",C81966 - ROUTERS,08:30:00,03:45:00,,6.25,,1.625X48X96,36,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
23956,JJJ 3003.xlsx,,JJJ,2025-03-04,"F,H",C81966 - ROUTERS,06:30:00,12:40:00,,5.42,,1.625X48X96,24,,,,,,2025-12-23 18:52:43,2025-12-23 18:52:43
